Log de Procesamiento BOM - 2025-09-17 13:02:30.837754
==================================================

Base de datos creada: c:\Users\J.Vazquez\Desktop\MASTER_PLAN\BackSchedule\BOM_Procesado.db
Archivo de información: c:\Users\J.Vazquez\Desktop\MASTER_PLAN\BackSchedule\BOM_Info.txt

[2025-09-17 13:02:31] ÉXITO - Key 0203478-003: 1 registros procesados, 1 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:31] ÉXITO - Key 0203481-003: 1 registros procesados, 1 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:31] ÉXITO - Key 025-07-095: 1 registros procesados, 1 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:31] ÉXITO - Key 025-07-137: 1 registros procesados, 1 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:31] ÉXITO - Key 026-07-073: 1 registros procesados, 1 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:31] ÉXITO - Key 028-05-025: 1 registros procesados, 1 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:31] ÉXITO - Key 0656349-0198: 1 registros procesados, 1 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:31] ÉXITO - Key 1000030-3: 1 registros procesados, 1 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:31] ÉXITO - Key 1000049-1: 1 registros procesados, 1 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:31] ÉXITO - Key 10010979: 1 registros procesados, 1 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:31] ÉXITO - Key 1005-042-001: 1 registros procesados, 1 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:31] ÉXITO - Key 1014: 1 registros procesados, 1 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:31] ÉXITO - Key 1050.6702: 1 registros procesados, 1 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:31] ÉXITO - Key 1099L: 1 registros procesados, 1 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:31] ÉXITO - Key 124-11055-1: 1 registros procesados, 1 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:31] ÉXITO - Key 124-11055-3: 1 registros procesados, 1 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:31] ÉXITO - Key 1357: 1 registros procesados, 1 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:31] ÉXITO - Key 14C34-08A: 1 registros procesados, 1 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:31] ÉXITO - Key 15-0827-1: 1 registros procesados, 1 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:31] ÉXITO - Key 15730-106: 1 registros procesados, 1 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:31] ÉXITO - Key 15800-995A-202: 1 registros procesados, 1 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:32] ÉXITO - Key 1651030-1: 1 registros procesados, 1 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:32] ÉXITO - Key 1693-0414: 1 registros procesados, 1 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:32] ÉXITO - Key 170-40003-001: 2 registros procesados, 2 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:32] ÉXITO - Key 170-40005-415: 121 registros procesados, 121 con LT_Release, 33 con LT_PlanType
[2025-09-17 13:02:32] ÉXITO - Key 170-40012-409: 314 registros procesados, 314 con LT_Release, 22 con LT_PlanType
[2025-09-17 13:02:32] ÉXITO - Key 170-40025-415: 117 registros procesados, 117 con LT_Release, 34 con LT_PlanType
[2025-09-17 13:02:32] ÉXITO - Key 170-40035-413: 332 registros procesados, 332 con LT_Release, 30 con LT_PlanType
[2025-09-17 13:02:32] ÉXITO - Key 170-40040-411: 69 registros procesados, 69 con LT_Release, 4 con LT_PlanType
[2025-09-17 13:02:32] ÉXITO - Key 170-40041-403: 76 registros procesados, 76 con LT_Release, 4 con LT_PlanType
[2025-09-17 13:02:32] ÉXITO - Key 170-40041-413: 79 registros procesados, 79 con LT_Release, 4 con LT_PlanType
[2025-09-17 13:02:32] ÉXITO - Key 170-40042-405: 69 registros procesados, 69 con LT_Release, 4 con LT_PlanType
[2025-09-17 13:02:32] ÉXITO - Key 170-40044-415: 69 registros procesados, 69 con LT_Release, 6 con LT_PlanType
[2025-09-17 13:02:32] ÉXITO - Key 170-40046-413: 69 registros procesados, 69 con LT_Release, 4 con LT_PlanType
[2025-09-17 13:02:32] ÉXITO - Key 170-40090-401: 2 registros procesados, 2 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:32] ÉXITO - Key 170-40096-001: 2 registros procesados, 2 con LT_Release, 2 con LT_PlanType
[2025-09-17 13:02:32] ÉXITO - Key 170-40105-403: 17 registros procesados, 17 con LT_Release, 5 con LT_PlanType
[2025-09-17 13:02:32] ÉXITO - Key 170-40107-407: 17 registros procesados, 17 con LT_Release, 4 con LT_PlanType
[2025-09-17 13:02:32] ÉXITO - Key 170-40110-407: 18 registros procesados, 18 con LT_Release, 4 con LT_PlanType
[2025-09-17 13:02:32] ÉXITO - Key 170-40111-405: 18 registros procesados, 18 con LT_Release, 5 con LT_PlanType
[2025-09-17 13:02:32] ÉXITO - Key 170-40111-407: 20 registros procesados, 20 con LT_Release, 5 con LT_PlanType
[2025-09-17 13:02:33] ÉXITO - Key 170-40112-403: 17 registros procesados, 17 con LT_Release, 5 con LT_PlanType
[2025-09-17 13:02:33] ÉXITO - Key 170-40113-405: 17 registros procesados, 17 con LT_Release, 5 con LT_PlanType
[2025-09-17 13:02:33] ÉXITO - Key 170-40116-403: 13 registros procesados, 13 con LT_Release, 8 con LT_PlanType
[2025-09-17 13:02:33] ÉXITO - Key 170-40117-405: 13 registros procesados, 13 con LT_Release, 2 con LT_PlanType
[2025-09-17 13:02:33] ÉXITO - Key 170-40119-003: 2 registros procesados, 2 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:33] ÉXITO - Key 170-40119-004: 2 registros procesados, 2 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:33] ÉXITO - Key 170-40159-001: 1 registros procesados, 1 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:33] ÉXITO - Key 170-40161-001: 1 registros procesados, 1 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:33] ÉXITO - Key 170-40168-001: 2 registros procesados, 2 con LT_Release, 2 con LT_PlanType
[2025-09-17 13:02:33] ÉXITO - Key 170-40174-405: 23 registros procesados, 23 con LT_Release, 2 con LT_PlanType
[2025-09-17 13:02:33] ÉXITO - Key 170-40176-405: 35 registros procesados, 35 con LT_Release, 2 con LT_PlanType
[2025-09-17 13:02:33] ÉXITO - Key 170-40177-405: 25 registros procesados, 25 con LT_Release, 2 con LT_PlanType
[2025-09-17 13:02:33] ÉXITO - Key 170-40179-405: 25 registros procesados, 25 con LT_Release, 2 con LT_PlanType
[2025-09-17 13:02:33] ÉXITO - Key 170-40180-405: 34 registros procesados, 34 con LT_Release, 2 con LT_PlanType
[2025-09-17 13:02:33] ÉXITO - Key 170-40188-001: 2 registros procesados, 2 con LT_Release, 2 con LT_PlanType
[2025-09-17 13:02:33] ÉXITO - Key 170-40190-405: 49 registros procesados, 49 con LT_Release, 2 con LT_PlanType
[2025-09-17 13:02:33] ÉXITO - Key 170-40195-001: 2 registros procesados, 2 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:33] ÉXITO - Key 170-40196-001: 8 registros procesados, 8 con LT_Release, 8 con LT_PlanType
[2025-09-17 13:02:33] ÉXITO - Key 170-40198-401: 2 registros procesados, 2 con LT_Release, 0 con LT_PlanType
[2025-09-17 13:02:33] ÉXITO - Key 170-40200-413: 108 registros procesados, 108 con LT_Release, 18 con LT_PlanType
[2025-09-17 13:02:33] ÉXITO - Key 170-40203-409: 71 registros procesados, 71 con LT_Release, 11 con LT_PlanType
[2025-09-17 13:02:33] ÉXITO - Key 170-40204-413: 70 registros procesados, 70 con LT_Release, 13 con LT_PlanType
[2025-09-17 13:02:33] ÉXITO - Key 170-40206-407: 56 registros procesados, 56 con LT_Release, 4 con LT_PlanType
[2025-09-17 13:02:34] ÉXITO - Key 170-40210-403: 40 registros procesados, 40 con LT_Release, 8 con LT_PlanType
[2025-09-17 13:02:34] ÉXITO - Key 170-40211-405: 26 registros procesados, 26 con LT_Release, 8 con LT_PlanType
[2025-09-17 13:02:34] ÉXITO - Key 170-40212-403: 40 registros procesados, 40 con LT_Release, 8 con LT_PlanType
[2025-09-17 13:02:34] ÉXITO - Key 170-40213-405: 26 registros procesados, 26 con LT_Release, 8 con LT_PlanType
[2025-09-17 13:02:34] ÉXITO - Key 170-40214-405: 10 registros procesados, 10 con LT_Release, 4 con LT_PlanType
